gps_deviation_km,location_consistency,claim_frequency_30d,account_age_months,multiple_claims_per_day,orders_during_disruption,avg_payout_inr,trust_score,zone_risk_tier,is_fraud
2.159,0.509,2,3.5,0,1,494,78.8,3,0
0.089,0.814,2,5.6,2,1,490,97.1,3,0
0.118,0.955,3,6.0,0,1,318,51.8,2,0
0.293,0.642,0,3.7,1,1,384,87.0,3,0
2.171,0.699,2,60.0,0,1,296,88.2,1,0
0.128,0.811,5,15.7,1,1,360,71.5,3,0
0.06,0.923,4,4.1,0,0,379,54.6,2,0
0.704,0.856,1,28.4,0,0,346,68.6,3,0
0.111,0.828,2,17.2,0,1,412,62.4,1,0
0.082,0.931,1,27.7,0,1,297,83.6,1,0
0.423,0.923,1,7.6,0,0,388,84.3,3,0
0.075,0.841,4,15.1,0,0,393,74.0,2,0
1.361,0.784,0,37.5,0,0,441,63.2,2,0
0.021,0.686,1,3.5,0,1,521,37.9,2,0
0.012,0.954,3,31.3,0,1,470,99.0,1,0
0.99,0.755,4,52.8,0,1,384,84.4,3,0
0.432,0.936,1,6.3,0,0,235,84.2,1,0
1.182,0.852,2,12.8,0,1,295,83.1,3,0
0.242,0.979,3,5.9,1,4,346,78.3,1,0
2.206,0.696,2,55.1,2,1,240,92.1,1,0
0.098,0.753,2,38.4,0,1,384,90.7,2,0
0.077,0.876,1,8.6,0,0,409,79.4,1,0
0.009,0.837,2,9.9,0,2,492,86.6,1,0
0.193,0.802,2,60.0,0,1,555,77.0,2,0
0.504,0.744,2,17.0,2,0,448,93.9,1,0
0.111,0.657,1,9.3,0,2,310,67.9,3,0
0.84,0.953,3,3.6,0,0,369,53.5,3,0
0.02,0.728,5,7.5,1,1,376,84.1,1,0
0.909,0.818,5,4.6,0,1,353,69.4,1,0
0.032,0.932,5,4.4,0,1,399,84.3,3,0
0.4,0.811,3,7.1,0,1,383,90.6,3,0
0.047,0.469,3,11.4,0,1,355,82.1,3,0
0.313,0.962,2,50.8,0,0,320,65.4,3,0
0.127,0.669,1,27.0,0,1,592,65.1,1,0
0.203,0.699,3,10.5,1,1,429,82.8,1,0
0.11,0.72,0,23.2,1,0,449,92.5,1,0
0.006,0.749,6,5.6,0,1,289,44.3,2,0
0.898,0.815,1,6.5,1,1,321,66.0,1,0
0.487,0.941,0,0.5,2,0,222,57.3,2,0
0.023,0.966,2,17.7,0,2,257,78.4,3,0
0.139,0.804,1,8.5,0,0,415,74.3,2,0
0.518,0.963,3,2.5,1,2,347,84.3,2,0
0.262,0.809,5,22.0,0,0,458,84.0,1,0
0.26,0.769,4,28.1,0,1,330,58.5,2,0
0.032,0.893,2,23.5,0,3,405,86.1,3,0
0.017,0.605,0,20.4,0,0,478,90.5,2,0
1.753,0.941,4,4.1,1,2,264,71.1,2,0
0.732,0.729,2,14.4,0,0,227,75.1,1,0
0.156,0.73,1,47.8,0,1,310,60.7,2,0
0.911,0.797,1,1.2,1,0,424,90.9,1,0
0.967,0.926,1,25.6,0,0,156,72.3,2,0
0.483,0.799,0,41.6,0,1,494,97.1,2,0
0.049,0.736,1,15.6,0,1,209,63.4,1,0
0.215,0.843,2,1.9,0,0,247,97.9,2,0
1.277,0.939,3,8.2,0,2,239,97.4,1,0
0.202,0.829,1,8.8,0,0,443,83.7,3,0
1.616,0.855,1,43.6,0,3,342,93.4,2,0
1.714,0.799,4,52.2,0,1,287,43.8,3,0
0.078,0.675,1,8.1,0,0,270,94.5,2,0
0.174,0.571,4,9.9,0,1,310,75.5,1,0
0.469,0.827,2,38.9,0,0,458,93.3,3,0
0.107,0.829,1,33.5,0,0,226,89.8,3,0
0.151,0.816,4,2.0,0,1,315,88.0,1,0
0.172,0.959,3,1.9,0,0,308,93.2,3,0
0.361,0.852,4,2.7,0,0,269,65.2,1,0
0.451,0.934,3,17.3,0,2,437,58.4,1,0
0.276,0.739,1,0.9,0,1,402,72.3,3,0
1.753,0.816,3,8.0,1,0,326,62.1,3,0
0.618,0.881,2,8.3,0,0,304,89.3,2,0
0.145,0.807,2,8.4,0,0,238,94.3,1,0
0.28,0.653,5,11.0,0,2,379,52.6,2,0
0.654,0.873,2,2.9,0,0,387,64.8,2,0
0.38,0.917,1,36.6,0,1,192,93.7,3,0
0.08,0.698,1,35.6,0,0,312,90.5,2,0
0.882,0.712,1,38.4,0,1,430,32.1,1,0
1.169,0.665,2,60.0,1,1,427,80.3,2,0
0.574,0.896,2,6.2,0,2,206,84.9,3,0
0.127,0.801,3,1.2,0,2,332,78.2,1,0
0.058,0.584,5,0.5,0,1,406,37.1,3,0
0.586,0.465,1,13.3,0,1,342,76.5,2,0
1.433,0.7,1,23.8,0,1,288,83.8,3,0
0.622,0.833,0,21.1,1,1,247,83.7,2,0
0.017,0.453,3,10.4,0,0,198,89.8,2,0
0.368,0.775,2,29.6,2,1,349,82.8,1,0
0.277,0.859,2,19.5,1,0,301,48.8,3,0
0.051,0.483,1,0.6,1,0,364,81.5,3,0
2.041,0.857,3,5.8,0,3,269,47.4,1,0
0.343,0.757,1,39.6,0,2,373,80.0,3,0
1.13,0.603,1,31.5,0,1,377,83.7,1,0
0.187,0.767,3,7.1,0,0,349,79.6,3,0
0.925,0.815,1,9.8,1,0,399,86.3,2,0
0.026,0.859,3,20.7,0,2,331,74.3,1,0
0.201,0.574,0,7.3,0,2,576,78.6,2,0
0.069,0.532,1,37.0,0,2,290,50.9,3,0
0.36,0.655,0,43.0,1,0,355,92.9,2,0
0.694,0.876,4,12.0,0,0,308,77.6,3,0
0.658,0.8,1,26.1,0,0,541,84.5,2,0
0.42,0.93,2,60.0,0,1,265,67.8,3,0
0.684,0.883,5,17.2,0,1,271,64.6,2,0
0.878,0.923,2,19.8,1,0,384,25.3,3,0
0.068,0.974,1,11.2,0,3,313,74.2,1,0
0.33,0.9,0,13.3,0,0,241,43.8,3,0
1.604,0.966,4,11.0,0,1,383,79.1,1,0
0.572,0.854,2,28.8,0,0,339,97.4,2,0
0.608,0.934,2,40.3,0,0,313,63.5,1,0
1.49,0.741,3,24.3,1,1,200,50.5,1,0
0.094,0.619,0,0.5,1,2,190,91.7,1,0
0.338,0.922,0,15.1,0,2,365,63.9,3,0
0.213,0.645,2,18.2,0,1,476,92.4,2,0
0.843,0.915,3,15.8,0,0,292,87.9,1,0
2.296,0.854,3,2.8,0,1,282,83.5,1,0
0.125,0.954,2,7.9,0,2,321,78.4,2,0
0.295,0.875,1,28.4,1,1,288,76.2,2,0
0.393,0.897,0,30.6,0,1,246,75.1,3,0
1.305,0.911,3,1.9,0,1,348,64.1,1,0
0.097,0.913,3,11.9,0,0,343,91.5,1,0
0.085,0.686,3,3.4,0,1,384,84.1,3,0
0.542,0.653,3,24.3,0,0,384,80.8,1,0
1.489,0.886,4,4.2,1,0,417,66.5,1,0
0.956,0.784,1,29.8,0,1,244,67.4,3,0
0.056,0.903,0,60.0,0,1,494,75.1,3,0
0.458,0.739,3,60.0,1,1,289,80.2,2,0
0.441,0.797,5,13.1,1,0,282,66.8,1,0
0.345,0.844,2,5.4,0,1,151,85.2,2,0
0.11,0.819,0,5.7,0,0,555,90.9,3,0
0.668,0.871,2,13.7,0,0,593,88.5,1,0
0.051,0.758,0,52.6,0,1,316,57.2,1,0
0.626,0.81,2,3.8,0,0,385,72.9,3,0
0.266,0.922,3,1.6,0,0,261,71.8,3,0
0.465,0.821,0,30.8,0,1,333,95.2,3,0
0.718,0.903,1,4.0,1,1,509,88.5,2,0
0.092,0.695,0,60.0,1,2,247,88.0,1,0
0.174,0.692,1,35.2,0,2,250,59.0,3,0
0.201,0.934,1,1.5,0,1,322,65.9,1,0
0.567,0.929,2,25.6,0,2,241,78.1,3,0
0.181,0.971,3,30.4,1,1,440,89.2,1,0
2.038,0.922,3,12.9,1,1,458,93.7,3,1
0.185,0.93,6,11.9,0,2,447,85.4,1,0
1.508,0.747,3,3.4,0,0,367,54.0,1,0
0.337,0.793,1,3.3,0,0,401,68.9,2,0
0.048,0.878,2,20.5,1,0,321,82.1,3,0
0.241,0.805,2,40.8,0,1,184,73.0,2,0
0.021,0.858,3,11.1,1,0,281,78.6,2,0
0.226,0.885,2,15.7,0,0,231,67.4,2,0
0.253,0.766,1,6.1,2,1,387,73.5,3,0
0.004,0.75,3,38.2,0,1,288,75.5,3,0
0.119,0.638,0,22.2,0,0,393,76.0,2,0
0.379,0.908,2,22.2,0,0,488,95.3,3,0
1.003,0.783,0,17.0,0,2,248,63.1,2,0
1.063,0.92,4,3.8,0,1,344,60.0,3,0
0.986,0.595,1,26.5,1,0,327,72.6,1,0
0.997,0.642,2,9.2,2,1,424,83.5,2,0
0.181,0.835,4,11.8,0,2,461,73.1,2,0
0.093,0.96,1,4.7,1,0,371,51.2,2,0
0.344,0.908,3,24.7,0,0,354,66.1,2,0
0.307,0.886,2,57.0,1,3,231,79.6,3,0
0.151,0.971,1,15.0,0,0,493,80.2,2,0
0.014,0.691,1,60.0,0,1,486,94.1,1,0
0.983,0.919,2,17.1,0,0,484,65.1,1,0
0.117,0.668,2,27.6,0,2,309,81.1,1,0
1.104,0.88,1,5.7,2,0,304,79.4,2,0
0.259,0.828,3,1.2,1,1,459,82.0,2,0
0.184,0.734,2,20.9,0,1,373,89.9,1,0
0.646,0.669,0,1.6,0,0,355,58.5,2,0
0.296,0.794,1,16.3,0,2,272,74.7,1,0
0.468,0.58,2,14.1,0,0,396,76.5,3,0
0.913,0.346,2,3.9,1,2,446,88.2,3,0
1.482,0.821,1,44.3,2,2,169,53.7,3,0
1.573,0.895,0,4.7,0,0,549,95.2,3,0
0.838,0.729,2,19.5,1,0,395,58.8,1,0
1.006,0.862,2,52.4,0,1,233,96.5,2,0
1.743,0.965,1,13.3,0,1,251,76.4,2,0
0.675,0.827,4,11.1,0,1,331,79.7,3,0
0.229,0.594,2,32.8,0,0,347,68.2,2,0
0.463,0.957,2,8.4,0,0,293,51.7,3,0
0.221,0.918,3,18.3,0,1,358,91.2,3,0
1.238,0.715,0,10.3,1,0,381,73.7,1,0
2.017,0.584,2,3.0,0,2,196,51.0,2,1
1.712,0.705,0,6.8,0,1,313,44.7,3,0
0.495,0.84,2,39.4,1,1,384,77.5,3,0
1.369,0.837,3,7.9,0,0,289,79.8,1,0
0.347,0.713,0,11.4,0,1,325,85.0,1,0
0.002,0.766,1,13.5,0,0,363,67.6,3,0
0.029,0.87,1,12.5,0,0,253,90.0,1,0
0.342,0.865,2,20.2,0,1,465,81.6,1,0
0.117,0.825,2,10.6,0,0,406,75.7,2,0
0.32,0.723,0,60.0,0,2,306,85.1,2,0
0.189,0.787,3,12.9,1,0,306,55.6,2,0
0.048,0.876,1,42.8,0,0,281,78.2,3,0
0.091,0.68,3,20.9,1,1,313,89.2,1,0
1.455,0.505,0,0.9,0,2,319,82.8,2,0
0.011,0.943,2,20.7,2,0,235,77.7,1,0
0.112,0.728,1,0.5,0,0,336,70.5,3,0
0.058,0.816,3,20.2,0,0,398,85.3,1,0
1.288,0.95,1,33.5,0,0,600,87.3,2,0
0.962,0.86,2,2.1,0,1,240,88.2,3,0
0.094,0.937,1,25.1,0,5,471,80.1,2,0
0.173,0.794,0,21.1,1,0,531,45.2,1,0
0.096,0.898,4,9.0,0,3,428,69.7,1,0
0.765,0.805,2,4.0,0,2,432,77.3,2,0
0.478,0.894,3,21.1,0,1,261,85.6,2,0
0.18,0.971,3,0.8,0,0,368,73.6,2,0
2.652,0.624,1,16.2,1,0,345,87.4,3,0
0.291,0.687,0,13.3,1,2,463,38.9,3,0
1.07,0.894,1,37.2,1,1,302,96.6,1,0
0.1,0.875,4,0.7,0,1,323,52.3,1,0
0.095,0.966,2,34.4,0,1,435,97.9,1,0
0.894,0.854,3,7.5,0,0,419,80.0,1,0
0.13,0.775,3,26.2,0,1,471,65.6,1,0
0.067,0.985,3,10.8,0,1,239,58.4,3,0
1.188,0.821,3,2.3,2,0,319,88.3,2,0
0.781,0.698,3,5.5,1,0,255,92.8,1,0
0.116,0.888,2,24.2,1,1,258,51.6,2,0
1.67,0.857,2,30.8,0,1,311,77.0,3,0
0.384,0.749,4,19.4,2,2,341,85.9,1,0
0.242,0.933,2,7.2,0,1,264,80.1,2,0
0.078,0.99,0,8.2,0,2,312,72.4,3,0
0.489,0.802,2,27.3,0,1,344,89.2,3,0
0.298,0.59,2,33.7,2,2,327,86.3,2,0
0.088,0.831,2,4.2,0,0,230,92.0,1,0
0.269,0.892,3,18.7,0,0,316,98.6,1,0
0.193,0.896,3,0.6,0,1,226,84.4,2,0
1.972,0.699,3,18.0,0,0,311,73.2,2,0
0.171,0.782,3,26.3,0,2,459,83.3,3,0
0.108,0.522,1,21.9,0,0,422,76.0,2,0
1.963,0.927,1,60.0,1,2,185,79.1,2,0
0.126,0.67,3,17.9,0,3,213,89.3,2,0
0.356,0.894,1,18.4,0,2,422,60.1,2,0
1.834,0.838,2,32.8,0,0,396,68.8,3,0
0.055,0.921,3,29.3,0,0,295,80.0,1,0
0.091,0.733,1,29.6,1,1,442,76.8,3,0
0.588,0.594,3,3.2,0,2,314,85.5,2,0
0.83,0.913,1,52.9,1,2,275,67.5,3,0
0.206,0.685,3,12.0,0,3,422,94.5,1,0
0.659,0.919,3,12.3,0,4,387,58.8,2,0
0.518,0.859,3,16.8,0,0,326,65.4,2,0
0.098,0.64,1,18.3,0,2,430,66.4,2,0
0.133,0.661,2,10.2,0,1,520,67.7,2,0
2.105,0.771,3,19.3,0,2,332,80.3,2,0
0.458,0.805,2,41.1,0,1,366,65.7,1,0
0.639,0.828,1,14.0,0,1,333,65.6,3,0
0.0,0.89,3,5.5,0,0,281,84.5,1,0
0.358,0.334,2,23.7,0,4,320,96.9,2,0
0.392,0.719,2,1.3,0,1,419,35.4,1,0
0.177,0.619,2,34.4,0,0,279,88.3,1,0
0.419,0.668,3,6.7,0,1,538,95.6,3,0
0.306,0.702,2,0.5,1,1,362,54.9,2,0
0.498,0.923,3,2.4,1,0,320,72.3,2,0
0.435,0.98,1,8.3,1,0,465,93.3,1,0
0.037,0.985,1,52.8,0,0,280,49.7,1,0
0.947,0.718,1,1.9,0,0,509,67.7,1,0
0.105,0.733,1,5.7,0,1,569,67.5,2,0
0.194,0.767,2,4.9,0,2,317,96.9,1,0
0.57,0.766,4,4.7,0,3,528,94.6,2,0
0.756,0.898,3,1.8,0,0,348,87.0,1,0
0.004,0.774,5,10.4,0,0,393,96.4,1,0
0.154,0.939,3,12.9,1,2,244,57.0,2,0
0.725,0.499,1,7.5,0,0,480,73.7,3,0
0.559,0.754,0,17.7,1,0,358,80.0,1,0
0.488,0.758,0,11.5,0,0,417,69.3,3,0
0.958,0.852,0,5.0,0,0,444,49.4,2,0
0.041,0.763,2,7.4,2,0,417,79.6,3,0
0.467,0.907,4,60.0,0,0,180,70.3,3,0
0.764,0.946,2,0.5,0,1,405,63.3,1,0
0.114,0.877,3,3.7,0,0,401,50.6,2,0
1.615,0.725,3,6.4,1,0,245,68.5,3,0
0.339,0.827,1,14.5,0,1,301,85.8,1,0
0.431,0.803,2,2.6,0,1,403,79.5,2,0
0.57,0.91,1,4.9,1,0,277,93.5,3,0
0.037,0.82,2,22.2,0,3,265,68.5,2,0
0.008,0.775,3,6.7,0,0,383,73.0,2,0
0.058,0.727,0,4.6,0,1,165,71.9,2,0
0.27,0.852,5,4.2,0,0,577,73.1,2,0
0.074,0.809,0,7.7,0,1,225,73.5,2,0
0.231,0.816,3,60.0,0,1,464,74.9,2,0
0.171,0.974,1,12.4,0,3,420,97.4,3,0
0.288,0.61,0,60.0,0,2,269,72.5,1,0
0.437,0.487,0,60.0,0,2,286,58.6,2,0
0.073,0.637,3,7.8,0,0,198,92.0,2,0
0.173,0.803,2,48.5,1,1,369,81.5,3,0
0.016,0.817,1,20.2,0,1,391,84.5,2,0
0.208,0.834,0,6.0,1,1,91,87.4,1,0
0.155,0.554,2,0.5,1,1,295,77.3,3,0
1.14,0.867,0,60.0,0,0,561,70.1,3,0
0.105,0.922,3,15.3,0,0,373,86.7,2,0
0.566,0.766,2,5.2,0,2,191,86.4,2,0
0.83,0.559,2,20.2,0,0,408,87.3,3,0
0.472,0.779,4,1.7,0,2,182,74.0,2,0
0.324,0.869,4,0.9,0,0,309,83.9,2,0
0.066,0.636,3,60.0,0,1,328,83.1,2,0
0.564,0.7,3,6.9,0,0,248,78.6,2,0
0.413,0.833,1,0.5,0,2,440,80.6,1,0
0.516,0.852,3,16.7,0,1,497,87.3,3,0
1.002,0.9,3,10.7,1,1,99,61.9,3,0
1.028,0.584,2,6.1,0,0,366,93.4,3,0
0.364,0.842,4,3.8,0,1,433,47.9,2,0
0.381,0.782,1,0.6,2,3,315,92.6,1,0
0.148,0.803,3,2.2,0,2,285,85.3,1,0
0.78,0.859,4,8.8,0,3,281,70.7,1,0
0.29,0.816,4,54.1,0,0,349,29.1,1,0
0.406,0.977,1,0.7,0,2,329,69.7,3,0
0.377,0.907,1,2.8,0,0,208,96.5,3,0
0.322,0.958,0,32.4,0,1,343,82.0,1,0
0.185,0.875,2,43.3,0,0,268,78.8,3,0
0.189,0.963,0,3.8,0,1,406,36.9,1,0
0.216,0.57,5,2.6,0,1,400,83.2,2,0
0.132,0.708,0,0.6,0,1,403,87.5,3,0
1.365,0.901,1,4.7,0,1,479,60.9,2,0
0.771,0.655,2,33.6,1,0,318,76.7,2,0
0.415,0.962,3,12.0,0,1,342,42.5,1,0
1.166,0.779,5,3.5,1,0,178,83.3,2,0
0.023,0.966,2,0.5,0,1,218,78.4,2,0
0.536,0.929,2,34.0,0,0,497,95.7,3,0
1.35,0.792,4,28.1,0,1,434,72.3,3,0
0.028,0.955,1,1.3,1,0,162,92.8,1,0
0.208,0.91,4,27.0,0,1,334,78.6,1,0
0.982,0.85,2,24.1,0,0,434,62.9,2,0
0.303,0.834,2,60.0,0,0,425,90.5,1,0
0.507,0.851,0,1.6,0,0,362,59.4,3,0
0.372,0.883,2,5.2,1,3,389,75.4,1,0
0.52,0.851,2,16.9,0,1,398,59.0,2,0
0.416,0.805,2,5.7,0,1,486,80.7,2,0
0.428,0.867,4,1.5,1,1,357,65.1,1,0
0.569,0.96,1,16.9,1,0,451,71.3,3,0
0.026,0.747,0,18.7,1,2,286,80.6,2,0
0.173,0.833,1,37.9,1,1,318,86.2,2,0
0.042,0.921,2,3.5,0,2,260,88.8,3,0
0.214,0.731,3,6.7,1,0,296,74.5,1,0
0.525,0.599,0,14.2,0,0,394,49.8,2,0
0.768,0.863,1,47.6,0,1,305,73.2,2,0
1.567,0.904,2,13.7,0,1,336,86.1,2,0
0.08,0.899,1,19.0,0,2,303,99.3,3,0
0.386,0.909,1,46.1,0,1,456,86.9,1,0
0.649,0.793,3,10.2,0,0,349,64.8,3,0
1.345,0.734,0,20.9,0,2,426,96.7,1,0
0.041,0.915,0,0.9,0,2,466,79.9,2,0
0.474,0.844,0,2.1,0,1,387,89.6,3,0
0.741,0.878,1,8.6,0,0,306,45.5,3,0
0.742,0.903,6,29.5,0,1,369,68.5,2,0
0.3,0.682,3,30.2,0,2,435,88.7,1,0
0.971,0.779,5,1.0,0,0,274,91.9,1,0
0.25,0.841,4,2.3,1,1,130,87.9,1,0
0.808,0.866,2,8.0,1,2,309,63.4,3,0
0.455,0.764,2,4.2,1,1,354,74.4,1,0
0.104,0.645,2,2.8,1,0,231,81.1,3,0
0.03,0.89,2,1.1,0,2,453,51.1,3,0
0.372,0.913,2,13.3,0,0,458,91.5,3,0
1.764,0.743,2,60.0,0,0,448,85.9,2,0
1.956,0.838,1,3.1,0,0,373,68.5,3,0
0.859,0.884,0,6.8,0,1,453,75.8,1,0
0.049,0.792,4,1.3,0,0,390,91.6,3,0
0.093,0.834,1,20.0,1,1,216,70.3,1,0
0.409,0.868,5,6.2,1,0,345,83.2,1,0
1.267,0.746,1,39.9,1,2,526,94.6,2,0
0.445,0.723,2,2.8,1,1,339,92.5,3,0
0.013,0.915,1,6.4,0,2,219,74.3,1,0
0.871,0.956,3,5.5,1,1,288,77.7,2,0
0.054,0.967,4,2.0,0,3,329,38.9,2,0
0.275,0.944,2,28.3,1,1,358,76.8,1,0
1.095,0.73,5,22.1,0,1,518,80.7,1,0
0.31,0.864,3,12.6,0,0,337,61.4,2,0
1.391,0.955,0,12.0,0,0,164,87.4,3,0
0.271,0.6,2,10.2,0,2,331,54.2,1,0
0.141,0.848,1,52.4,0,1,541,63.6,3,0
0.658,0.927,3,26.4,2,1,459,76.9,3,0
0.018,0.966,2,52.8,0,0,303,50.9,2,0
0.004,0.572,1,1.8,3,1,189,63.7,3,0
0.04,0.634,6,2.5,0,2,361,65.5,3,0
0.88,0.743,3,13.3,0,2,417,72.4,3,0
0.213,0.884,5,13.4,0,1,562,69.7,2,0
0.006,0.848,4,1.6,0,1,259,95.6,3,0
0.715,0.78,2,4.4,1,1,308,73.4,2,0
0.239,0.865,1,20.0,0,2,339,80.2,2,0
2.232,0.789,6,16.8,1,0,359,75.5,1,1
0.175,0.847,2,15.4,0,0,481,87.4,1,0
1.929,0.881,2,14.7,1,0,311,79.1,2,0
1.813,0.94,1,32.3,2,0,180,72.3,2,0
0.212,0.8,2,23.7,1,0,508,88.1,1,0
1.171,0.808,2,10.6,0,4,604,60.2,1,0
0.017,0.856,4,27.2,0,0,318,72.2,1,0
0.035,0.298,2,24.2,0,0,356,79.1,3,0
0.62,0.59,1,3.1,0,0,78,67.6,3,0
0.501,0.754,1,26.6,1,1,282,88.3,1,0
0.073,0.87,3,16.1,0,0,432,98.4,1,0
0.063,0.69,1,54.2,0,2,322,81.3,2,0
0.226,0.664,6,2.3,0,0,413,37.8,3,0
0.091,0.947,3,13.1,2,2,280,79.8,1,0
0.247,0.895,2,27.9,0,1,346,75.9,2,0
0.027,0.844,1,21.1,0,2,92,80.8,2,0
0.536,0.814,2,49.9,0,0,250,69.1,2,0
0.518,0.948,3,9.2,0,2,568,68.0,1,0
0.604,0.741,0,19.2,0,3,452,94.6,1,0
0.471,0.862,0,41.5,1,2,395,58.3,2,0
0.277,0.936,2,14.1,0,0,268,91.7,2,0
0.208,0.584,3,9.1,0,1,247,34.5,3,0
1.176,0.843,1,8.0,1,1,340,91.0,2,0
0.32,0.79,2,36.1,0,1,435,86.7,3,0
1.429,0.69,1,33.5,2,3,405,86.3,1,0
0.176,0.892,1,30.8,0,0,579,80.8,2,0
0.57,0.864,4,1.0,0,0,376,73.2,3,0
0.081,0.745,1,6.8,0,1,265,79.9,3,0
1.24,0.887,2,20.5,3,0,435,71.5,1,0
1.264,0.749,1,11.5,0,1,529,71.8,1,0
0.017,0.907,3,25.6,0,0,409,88.9,1,0
0.141,0.731,0,17.8,0,1,365,82.0,2,0
0.644,0.849,1,11.6,0,0,296,64.0,1,0
1.731,0.767,2,10.1,0,1,271,32.1,1,0
0.186,0.679,4,2.4,0,1,276,67.4,3,0
0.364,0.643,2,16.3,0,1,438,55.1,2,0
0.403,0.97,3,7.2,0,1,309,84.2,1,0
0.157,0.875,4,60.0,0,4,414,58.5,2,0
0.962,0.638,3,60.0,0,1,413,49.9,2,0
1.678,0.941,4,1.2,0,2,353,87.3,1,0
0.612,0.823,4,10.8,0,0,441,85.4,3,0
0.109,0.586,2,10.9,0,1,344,93.6,2,0
0.419,0.713,3,3.5,1,1,438,78.6,3,0
0.467,0.817,1,2.4,1,1,293,64.4,3,0
0.05,0.777,4,7.4,0,1,240,69.4,2,0
0.808,0.887,2,12.7,0,1,281,64.7,1,0
0.453,0.65,2,20.4,0,1,272,95.0,3,0
0.38,0.813,4,18.2,0,0,201,86.3,1,0
0.241,0.905,1,6.1,0,0,193,78.8,3,0
1.372,0.696,1,6.0,1,2,382,96.6,2,0
0.007,0.705,10,31.5,0,1,332,91.3,1,0
0.101,0.764,2,23.2,0,1,405,59.7,1,0
0.831,0.894,2,17.5,0,2,247,89.4,2,0
0.092,0.849,5,26.5,0,0,279,93.9,2,0
0.02,0.846,1,7.3,0,2,264,79.4,1,0
0.032,0.788,3,3.6,1,2,479,77.6,1,0
0.678,0.918,2,46.0,0,1,446,81.2,2,0
0.245,0.877,5,6.4,0,0,251,82.0,3,0
0.688,0.876,1,4.6,0,0,359,88.0,2,0
0.456,0.759,2,3.4,0,0,335,37.3,2,0
1.141,0.82,0,2.3,0,1,497,33.4,2,0
2.108,0.797,2,17.3,0,2,347,69.5,3,0
0.313,0.863,1,11.1,0,1,406,77.2,1,0
1.125,0.671,4,1.6,0,1,493,58.8,3,0
0.024,0.699,1,2.2,1,1,241,91.6,2,0
0.009,0.936,3,27.3,0,1,305,62.1,1,0
0.343,0.847,4,4.7,0,1,573,78.4,2,0
1.398,0.816,1,46.9,0,0,232,63.3,2,0
0.432,0.682,2,19.1,0,2,389,62.9,2,0
0.085,0.604,2,11.4,0,2,386,95.8,1,0
0.633,0.746,4,20.8,0,3,253,83.5,1,0
0.663,0.983,2,21.4,0,2,551,68.1,3,0
0.243,0.88,4,20.1,0,1,318,96.0,3,0
0.596,0.641,3,19.7,0,2,435,69.3,3,0
0.945,0.688,1,9.3,0,2,210,69.8,2,0
0.032,0.792,1,41.2,0,1,307,53.1,1,0
0.178,0.62,2,60.0,0,0,28,83.0,1,0
0.392,0.842,4,53.2,0,2,456,74.6,3,0
1.026,0.884,0,18.7,0,1,456,91.4,2,0
0.733,0.72,0,5.3,0,1,254,70.0,2,0
0.231,0.871,1,32.0,0,1,403,56.7,3,0
0.253,0.896,3,0.7,0,0,328,68.1,3,0
0.08,0.866,2,24.4,0,0,238,49.3,2,0
0.594,0.804,0,8.0,0,0,335,53.8,3,0
0.16,0.993,2,13.3,1,4,341,88.0,1,0
0.052,0.991,1,60.0,1,1,399,97.3,1,0
0.802,0.959,2,20.3,0,2,233,93.8,2,0
0.049,0.794,1,3.1,0,1,394,78.2,2,0
0.605,0.9,1,4.5,0,0,251,78.8,3,0
0.053,0.892,2,8.4,0,0,550,97.9,2,0
0.154,0.954,3,4.1,0,0,459,93.1,3,0
0.513,0.895,1,11.0,1,0,206,79.0,3,0
0.436,0.983,4,6.6,1,0,382,84.1,2,0
0.343,0.588,1,0.5,0,2,397,61.1,3,0
0.747,0.908,1,11.1,0,2,264,88.4,3,0
0.692,0.81,3,46.8,0,4,602,94.2,1,0
1.612,0.65,1,18.1,1,0,521,20.9,1,0
0.087,0.851,3,2.8,0,0,368,80.2,1,0
0.887,0.765,1,23.7,0,1,408,95.3,2,0
0.109,0.936,2,5.7,0,0,326,80.6,2,0
0.044,0.892,5,1.2,1,1,300,54.8,2,0
0.005,0.892,0,51.4,2,1,263,91.0,2,0
0.512,0.939,1,34.9,0,1,369,42.4,3,0
0.735,0.788,3,6.3,0,0,219,86.4,3,0
0.1,0.579,2,26.4,0,2,391,68.3,2,0
0.935,0.679,2,30.2,0,3,191,95.2,1,0
0.086,0.947,2,9.4,0,2,413,72.5,3,0
0.115,0.843,4,14.4,0,3,235,82.9,1,0
0.202,0.915,0,58.1,1,0,171,96.8,2,0
4.027,0.765,3,43.1,1,1,316,88.5,3,0
0.444,0.895,0,20.4,1,2,191,66.3,3,0
0.196,0.931,0,28.4,0,1,455,91.4,1,0
0.26,0.804,0,28.2,1,1,525,62.1,2,0
0.634,0.865,3,6.9,1,4,483,53.1,3,0
0.1,0.82,3,2.1,0,2,207,56.8,3,0
0.114,0.926,1,17.7,0,1,199,88.3,3,0
0.166,0.705,5,14.6,0,2,317,79.1,2,0
0.43,0.867,3,9.9,0,2,466,76.3,1,0
0.168,0.879,0,0.5,0,0,370,78.4,1,0
0.448,0.728,2,6.4,0,1,245,83.9,1,0
0.509,0.849,1,3.7,1,1,431,73.7,2,0
0.363,0.619,7,9.8,0,1,313,89.1,3,0
0.82,0.827,2,60.0,0,2,309,81.9,3,0
0.469,0.793,3,4.9,0,1,375,93.0,2,0
